U+1100+U+1160+U+11A8	국가
U+1100+U+1160+U+11A9	공격
U+1100+U+1160+U+11FA	국민
U+1100+U+1160+U+11AB	기는 
U+1100+U+1160+U+11AC	건물
U+1100+U+1160+U+11AD	공간
U+1100+U+1160+U+11AF	결과
U+1100+U+1160+U+11B0	결국
U+1100+U+1160+U+11B5	공급
U+1100+U+1160+U+11B7	개념
U+1100+U+1160+U+11B8	고급
U+1100+U+1160+U+11BA	그것
U+1100+U+1160+U+11BC	광고
U+1100+U+1160+U+11C0	관념
U+1100+U+1160+U+11C1	깊은 
U+1100+U+1165+U+11FA	객관적
U+1100+U+117E	겨우 
U+1100+U+117E+U+11BC	구경
U+1100+U+116A+U+11FA	관객
U+1100+U+D7B0	그녀
U+1100+U+1189	구나
U+1100+U+1189+U+11A8	국내
U+1100+U+D7BB	계급
U+1100+U+D7BC	그곳
U+1100+U+1195	궁금
U+1100+U+1195+U+11AB	근무
U+1100+U+1198	가게
U+1100+U+1198+U+11AB	관계
U+1100+U+D7BE	경계
U+1100+U+D7BF	계약
U+1100+U+D7C0	기계
U+1100+U+D7C0+U+11A8	계획
U+1100+U+D7C4+U+11BC	경험
U+1100+U+119E	가는 
U+1100+U+119E+U+11AB	그만
U+1100+U+119E+U+11B7	같은 
U+1100+U+11A2	것은 
U+1100+U+11A2+U+11AB	근거
U+1100+U+11A2+U+11AF	것을 
U+1100+U+11A2+U+11B7	검은 
U+1101+U+1160+U+11A8	교육
U+1101+U+1160+U+11FA	약간
U+1101+U+1160+U+11AB	인간
U+1101+U+1160+U+11AC	연결
U+1101+U+1160+U+11AD	공연
U+1101+U+1160+U+11AF	얼굴
U+1101+U+1160+U+11B0	엄격
U+1101+U+1160+U+11B5	공업
U+1101+U+1160+U+11B7	금융
U+1101+U+1160+U+11B8	기업
U+1101+U+1160+U+11B9	끊임없
U+1101+U+1160+U+11BA	이것
U+1101+U+1160+U+11BC	경우
U+1101+U+1160+U+11BD	온갖 
U+1101+U+1160+U+11C0	같이 
U+1101+U+1160+U+11C1	깊이
U+1101+U+1161+U+11FA	관악
U+1101+U+117E	연구
U+1101+U+117E+U+11AF	겨울
U+1101+U+1169+U+11FA	외국인
U+1101+U+D7B0	연극
U+1101+U+D7B0+U+11AB	의견
U+1101+U+1189	요구
U+1101+U+1189+U+11AF	개월
U+1101+U+D7BB	예금
U+1101+U+D7BC	요금
U+1101+U+1195	꾸는 
U+1101+U+D7BF	께서 
U+1101+U+119E	을까? 
U+1101+U+119E+U+11AF	가을
U+1101+U+119E+U+11B7	가끔 
U+1101+U+119E+U+11BA	깨끗
U+1101+U+11A2	거의 
U+1101+U+11A2+U+11AB	근원
U+1101+U+11A2+U+11AF	걸음
U+F809+U+1160+U+11A8	중국
U+F809+U+1160+U+11A9	충격
U+F809+U+1160+U+11FA	건축
U+F809+U+1160+U+11AB	친구
U+F809+U+1160+U+11AC	관찰
U+F809+U+1160+U+11AD	괜찮
U+F809+U+1160+U+11AF	경찰
U+F809+U+1160+U+11B2	껍질
U+F809+U+1160+U+11B5	중소기업
